element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
244,3,10,2,True,2020-09-12T16:30:00Z,4,3,1,65,0,0,0,2,0,0,0,0,0,0,0,19,14.0,2.0,7.0,2.3,55,0,180668,0,0
244,11,5,1,False,2020-09-20T15:30:00Z,0,2,2,45,0,0,0,0,0,0,0,0,0,0,0,6,6.0,18.8,0.0,2.5,55,-19645,173807,8936,28581
244,23,1,0,True,2020-09-28T19:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-53638,120989,2080,55718
244,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-32279,90977,383,32662
244,41,7,2,False,2020-10-17T11:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,9,10.0,24.3,31.0,6.5,54,-8706,85042,2362,11068
244,54,15,2,True,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,24,27.2,26.3,10.0,6.4,54,1611,88873,6510,4899
244,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,12,15.2,9.3,1.0,2.6,54,-175,89692,4713,4888
244,75,12,2,False,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,11,3.0,1.8,1.0,0.6,54,-2087,88264,4033,6120
244,83,9,0,True,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7405,81251,2962,10367
244,90,3,1,False,2020-11-28T12:30:00Z,1,1,10,45,0,0,0,1,0,0,0,0,0,0,0,7,3.8,1.9,0.0,0.6,54,-8284,73310,119,8403
244,103,20,11,True,2020-12-06T19:15:00Z,4,0,11,80,0,2,1,0,0,0,0,0,0,0,2,37,31.2,35.9,0.0,6.7,54,-2279,71591,1204,3483
244,112,8,2,False,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,13,22.4,7.2,21.0,5.1,54,10658,83892,12634,1976
244,127,17,2,True,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,15,18.0,9.2,2.0,2.9,54,2684,86591,6041,3357
244,132,6,8,False,2020-12-19T12:30:00Z,0,7,14,90,1,0,1,0,0,0,0,0,0,0,0,36,53.6,7.7,7.0,6.8,54,2561,89834,6167,3606
244,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,18,21.0,29.4,3.0,5.3,54,34062,127527,39161,5099
244,155,14,3,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,13,12.2,18.2,1.0,3.1,54,3796,130990,10424,6628
244,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,15,17.8,1.7,4.0,2.4,54,-164,131745,10359,10523
244,184,13,3,True,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,15,12.0,12.1,7.0,3.1,54,2201,125512,9796,7595
244,177,4,0,True,2021-01-21T20:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,2201,125512,9796,7595
244,198,17,2,False,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,1,0,0,0,0,0,0,0,14,12.0,1.5,0.0,1.4,54,-17689,106459,1709,19398
244,208,19,2,False,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,1,0,0,0,0,0,0,0,19,16.0,11.8,0.0,2.8,54,-8431,98589,641,9072
244,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,25,24.6,13.4,0.0,3.8,54,-1894,97240,1821,3715
244,223,12,2,True,2021-02-07T16:30:00Z,1,4,23,90,0,0,0,4,0,0,0,0,0,0,0,12,15.0,2.3,0.0,1.7,54,-3434,94283,1102,4536
244,234,9,2,False,2021-02-13T12:30:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,0,0,16,16.0,26.1,6.0,4.8,54,-3395,91354,1413,4808
244,244,7,1,True,2021-02-20T17:30:00Z,0,2,25,29,0,0,0,1,0,0,0,0,0,0,0,9,7.0,1.4,7.0,1.5,54,-2232,89754,1094,3326
244,256,15,0,False,2021-02-28T19:15:00Z,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7712,81942,322,8034
244,283,5,0,True,2021-03-04T20:15:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7712,81942,322,8034
244,263,8,0,True,2021-03-07T14:00:00Z,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3868,78322,37,3905
244,278,20,0,False,2021-03-15T20:00:00Z,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2105,76264,40,2145
244,289,1,0,False,2021-04-03T19:00:00Z,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-926,74215,46,972
244,303,2,0,True,2021-04-10T14:00:00Z,2,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-616,73612,26,642
244,313,10,0,False,2021-04-19T19:00:00Z,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-559,73065,18,577
244,324,14,0,True,2021-04-24T11:30:00Z,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-389,72683,20,409
244,344,16,0,True,2021-05-08T19:15:00Z,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-269,72158,21,290
244,334,13,0,False,2021-05-13T19:15:00Z,2,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-269,72158,21,290
244,353,18,0,False,2021-05-16T15:30:00Z,1,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-246,71930,10,256
244,360,4,0,False,2021-05-19T19:15:00Z,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-142,71793,17,159
244,374,6,0,True,2021-05-23T15:00:00Z,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-184,71592,63,247
