element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
502,4,17,3,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,16,18.0,3.4,0.0,2.1,55,0,75335,0,0
502,12,18,2,True,2020-09-19T11:30:00Z,5,2,2,90,0,0,0,2,0,0,0,0,0,0,0,13,18.0,6.0,7.0,3.1,55,19148,133590,36189,17041
502,21,6,2,False,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,9,18.4,11.0,1.0,3.0,55,-16720,123385,17310,34030
502,32,3,0,True,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-26221,100840,9196,35417
502,41,11,1,True,2020-10-17T11:30:00Z,2,2,5,90,0,0,0,2,0,0,0,1,0,0,0,3,4.0,0.9,0.0,0.5,54,-21754,81806,2728,24482
502,56,16,2,False,2020-10-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,13,15.0,1.6,0.0,1.7,54,-3591,80639,3433,7024
502,65,14,1,False,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,1,0,0,0,13,25.4,24.3,0.0,5.0,54,-2193,79838,2792,4985
502,73,13,1,True,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,3,0,0,0,1,0,0,0,15,21.2,2.5,0.0,2.4,54,-3643,76817,2162,5805
502,81,8,2,False,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,2,0,0,0,0,0,0,0,12,9.4,2.2,0.0,1.2,53,-4088,73448,2511,6599
502,93,10,1,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,1,0,0,0,10,7.6,22.9,19.0,5.0,53,-1387,72814,1509,2896
502,101,4,2,False,2020-12-05T12:30:00Z,1,1,11,88,0,0,0,1,0,0,0,0,0,0,0,17,19.2,12.5,0.0,3.2,53,-1957,71243,1541,3498
502,111,5,3,True,2020-12-12T20:00:00Z,1,0,12,90,0,0,1,0,0,0,0,0,0,0,0,14,14.2,0.8,0.0,1.5,53,-2376,69222,823,3199
502,123,9,1,False,2020-12-16T18:00:00Z,0,2,13,40,0,0,0,0,0,0,0,0,0,0,0,5,7.0,10.9,0.0,1.8,53,-499,68986,1006,1505
502,133,1,0,True,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-4527,64440,235,4762
502,146,15,0,False,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5763,58685,52,5815
502,163,19,0,True,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1605,55670,34,1639
502,176,20,0,False,2021-01-12T20:15:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2257,53311,47,2304
502,191,9,0,True,2021-01-27T20:15:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1168,51729,26,1194
502,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-597,51167,17,614
502,212,10,0,False,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-565,50612,12,577
502,224,13,0,False,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-721,49893,26,747
502,233,8,0,True,2021-02-14T19:00:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-628,49280,26,654
502,153,12,0,True,2021-02-17T20:15:00Z,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-628,49280,26,654
502,244,11,0,False,2021-02-20T17:30:00Z,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-223,49129,88,311
502,251,16,3,True,2021-03-01T20:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,11,11.0,0.9,0.0,1.2,52,-91,49138,188,279
502,287,18,1,False,2021-03-04T18:00:00Z,0,1,26,32,0,0,0,0,0,0,0,0,0,0,0,4,7.2,1.0,0.0,0.8,52,-91,49138,188,279
502,262,5,2,False,2021-03-08T18:00:00Z,2,0,27,90,0,0,0,2,0,0,0,0,0,0,0,19,12.8,1.3,0.0,1.4,52,-35,49182,187,222
502,271,4,2,True,2021-03-13T17:30:00Z,1,2,28,90,0,0,0,2,0,0,0,0,0,0,0,14,10.4,6.3,0.0,1.7,52,84,49329,303,219
502,292,6,0,True,2021-04-05T17:00:00Z,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,8,49400,184,176
502,299,3,0,False,2021-04-12T19:15:00Z,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-200,49220,65,265
502,312,17,2,True,2021-04-16T19:00:00Z,2,2,32,90,0,0,0,2,0,0,0,0,0,0,0,11,20.0,12.2,0.0,3.2,52,-202,49028,48,250
502,319,1,2,False,2021-04-23T19:00:00Z,0,1,33,90,0,0,1,0,0,0,0,1,0,0,0,9,23.0,11.9,0.0,3.5,52,24,49100,108,84
502,333,2,2,True,2021-05-01T19:00:00Z,1,2,34,90,0,0,0,2,0,0,0,0,0,0,0,16,12.6,23.3,4.0,4.0,52,55,49175,140,85
502,347,19,2,False,2021-05-09T15:30:00Z,0,1,35,90,0,0,1,0,0,0,0,1,0,0,0,8,14.2,0.5,0.0,1.5,52,191,49413,321,130
502,180,2,3,False,2021-05-13T17:00:00Z,0,0,35,90,0,0,1,0,0,0,0,0,0,0,0,15,11.8,22.0,4.0,3.8,52,191,49413,321,130
502,351,15,2,True,2021-05-16T18:00:00Z,0,1,36,90,0,0,0,1,0,0,0,0,0,0,0,13,24.4,24.7,7.0,5.6,52,271,49740,389,118
502,363,20,3,True,2021-05-19T17:00:00Z,1,0,37,90,0,0,1,0,0,0,0,0,0,0,0,15,26.6,17.6,0.0,4.4,52,-89,49639,82,171
502,375,12,2,False,2021-05-23T15:00:00Z,5,0,38,90,0,0,0,5,0,0,0,0,0,0,0,15,15.2,12.6,0.0,2.8,52,-60,49595,142,202
