,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,3,0.6880058646202087,90,FW,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473360,0.08327088505029678,1,1,1,0.6880058646202087,0.2840324640274048,0,Harry Kane
1,0,2,0.08376558870077133,90,FW,Tottenham,Aston Villa,1,2,2021-05-19,14803,2020,472469,0.056158315390348434,0,1,0,0.08376558870077133,0.19524939358234406,0.05532548576593399,Harry Kane
2,1,7,1.6996763944625854,90,FW,Tottenham,Wolverhampton Wanderers,2,0,2021-05-16,14793,2020,471453,0.09173128753900528,0,2,1,1.6996763944625854,1.1989365816116333,0.07789674401283264,Harry Kane
3,0,2,0.10820969194173813,90,FW,Leeds,Tottenham,3,1,2021-05-08,14778,2020,468410,0.2938605546951294,0,2,0,0.10820969194173813,0.4220210015773773,0.10143613815307617,Harry Kane
4,0,6,0.829526424407959,90,FW,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467827,0.13899919390678406,0,2,0,0.829526424407959,0.9613221883773804,0.05995458364486694,Harry Kane
5,2,5,1.115343689918518,90,FW,Everton,Tottenham,2,2,2021-04-16,14748,2020,462581,0.17461782693862915,0,2,2,1.115343689918518,1.3773210048675537,0.16644705832004547,Harry Kane
6,0,3,0.08632980287075043,90,FW,Tottenham,Manchester United,1,3,2021-04-11,14742,2020,462060,0,0,0,0,0.08632980287075043,0.4724445641040802,0.3861147463321686,Harry Kane
7,2,7,2.1688525676727295,90,FW,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460258,0,0,0,2,2.1688525676727295,2.0389697551727295,0,Harry Kane
8,1,4,0.886719822883606,90,FW,Aston Villa,Tottenham,0,2,2021-03-21,14606,2020,458965,0,0,0,0,0.12555095553398132,0.06799117475748062,0,Harry Kane
9,0,3,0.09230297803878784,90,FW,Arsenal,Tottenham,2,1,2021-03-14,14705,2020,457208,0,0,0,0,0.09230297803878784,0,0,Harry Kane
10,2,5,0.8502745032310486,82,FW,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455405,0.9384926557540894,2,3,2,0.8502745032310486,1.7724664211273193,0.1594403237104416,Harry Kane
11,0,3,0.7693871855735779,90,FW,Fulham,Tottenham,0,1,2021-03-04,14757,2020,454188,0.0169364083558321,0,1,0,0.7693871855735779,0.786323606967926,0,Harry Kane
