,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,GK,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473517,0,0,0,0,0,0.10073334723711014,0.10073334723711014,Robert Sánchez
1,0,0,0,90,GK,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472347,0.025614948943257332,0,1,0,0,0.294050395488739,0.26843544840812683,Robert Sánchez
2,0,0,0,90,GK,Brighton,West Ham,1,1,2021-05-15,14785,2020,471061,0,0,0,0,0,0.10597215592861176,0.10597215592861176,Robert Sánchez
3,0,0,0,90,GK,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469095,0,0,0,0,0,0.11009287089109421,0.11009287089109421,Robert Sánchez
4,0,0,0,90,GK,Brighton,Leeds,2,0,2021-05-01,14765,2020,466943,0,0,0,0,0,0.4365421235561371,0.4365421235561371,Robert Sánchez
5,0,0,0,90,GK,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465665,0,0,0,0,0,0.08048422634601593,0.08048422634601593,Robert Sánchez
6,0,0,0,90,GK,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464168,0,0,0,0,0,0.01982860267162323,0.01982860267162323,Robert Sánchez
7,0,0,0,90,GK,Brighton,Everton,0,0,2021-04-12,14735,2020,462471,0,0,0,0,0,0.05402126908302307,0.05402126908302307,Robert Sánchez
8,0,0,0,90,GK,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460509,0,0,0,0,0,0,0,Robert Sánchez
9,0,0,0,90,GK,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458321,0,0,0,0,0,0.503287672996521,0.503287672996521,Robert Sánchez
10,0,0,0,90,GK,Southampton,Brighton,1,2,2021-03-14,14713,2020,456754,0,0,0,0,0,0.29503941535949707,0.29503941535949707,Robert Sánchez
11,0,0,0,90,GK,Brighton,Leicester,1,2,2021-03-06,14696,2020,454900,0,0,0,0,0,0,0,Robert Sánchez
12,0,0,0,90,GK,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452270,0,0,0,0,0,0.05118532478809357,0.05118532478809357,Robert Sánchez
13,0,0,0,90,GK,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451687,0,0,0,0,0,0,0,Robert Sánchez
14,0,0,0,90,GK,Brighton,Aston Villa,0,0,2021-02-13,14666,2020,449279,0,0,0,0,0,0,0,Robert Sánchez
15,0,0,0,90,GK,Burnley,Brighton,1,1,2021-02-06,14656,2020,447648,0,0,0,0,0,0,0,Robert Sánchez
16,0,0,0,90,GK,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447199,0,0,0,0,0,0.016594428569078445,0.016594428569078445,Robert Sánchez
17,0,0,0,90,GK,Brighton,Tottenham,1,0,2021-01-31,14636,2020,446530,0,0,0,0,0,0.19834309816360474,0.19834309816360474,Robert Sánchez
18,0,0,0,90,GK,Brighton,Fulham,0,0,2021-01-27,14625,2020,445118,0,0,0,0,0,0.6072646975517273,0.6072646975517273,Robert Sánchez
19,0,0,0,90,GK,Leeds,Brighton,0,1,2021-01-16,14618,2020,442313,0,0,0,0,0,0,0,Robert Sánchez
20,0,0,0,90,GK,Manchester City,Brighton,1,0,2021-01-13,14614,2020,441915,0,0,0,0,0,0,0,Robert Sánchez
21,0,0,0,90,GK,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439223,0,0,0,0,0,0.039705920964479446,0.039705920964479446,Robert Sánchez
22,0,0,0,90,GK,Brighton,Arsenal,0,1,2020-12-29,14585,2020,438375,0,0,0,0,0,0.05558919906616211,0.05558919906616211,Robert Sánchez
23,0,0,0,90,GK,West Ham,Brighton,2,2,2020-12-27,14583,2020,438252,0,0,0,0,0,0.03998198360204697,0.03998198360204697,Robert Sánchez
24,0,0,0,90,GK,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436416,0,0,0,0,0,0.1394137442111969,0.1394137442111969,Robert Sánchez
25,0,0,0,90,GK,Fulham,Brighton,0,0,2020-12-16,14557,2020,435406,0,0,0,0,0,0,0,Robert Sánchez
26,0,0,0,90,GK,Tottenham,Brighton,2,1,2020-11-01,14503,2020,425523,0,0,0,0,0,0,0,Robert Sánchez
