element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
308,15,6,1,True,2020-09-19T16:30:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,11,18.6,2.8,4.0,2.5,50,834,128704,12555,11721
308,19,3,1,False,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,22,26.2,0.5,0.0,2.7,50,-16933,115282,5627,22560
308,35,17,0,True,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-14917,102580,2190,17107
308,45,14,2,False,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,1,0,0,0,0,0,0,0,11,12.8,0.6,0.0,1.3,49,-12897,91743,2621,15518
308,55,5,6,True,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,26,18.2,11.3,2.0,3.2,49,-4519,88879,2967,7486
308,64,1,2,True,2020-11-01T16:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,15,14.6,2.1,2.0,1.9,49,2633,93619,6232,3599
308,73,7,2,False,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,1,0,0,0,0,0,0,0,15,10.4,0.4,0.0,1.1,49,-2652,91572,3349,6001
308,84,18,7,True,2020-11-21T20:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,1,26,17.4,11.7,0.0,2.9,49,-3918,88620,5722,9640
308,96,16,1,False,2020-11-29T14:00:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,0,14,13.6,0.3,0.0,1.4,49,-147,89210,4150,4297
308,108,19,2,False,2020-12-05T17:30:00Z,1,3,11,90,0,0,0,1,0,0,0,0,0,0,0,13,21.6,0.8,0.0,2.2,48,1552,92336,5579,4027
308,115,12,6,True,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,24,6.2,10.4,11.0,2.8,48,-1513,91004,3307,4820
308,124,15,4,False,2020-12-17T20:00:00Z,2,3,13,90,0,1,0,2,0,0,0,0,0,0,0,23,38.4,10.5,0.0,4.9,48,15167,109071,17236,2069
308,134,10,7,True,2020-12-20T16:30:00Z,6,2,14,90,1,0,0,2,0,0,0,0,0,0,0,21,48.2,0.1,33.0,8.1,48,6930,115029,10880,3950
308,143,9,2,False,2020-12-26T12:30:00Z,2,2,15,65,0,0,0,1,0,0,0,0,0,0,0,7,8.0,1.3,0.0,0.9,48,26281,145399,32552,6271
308,154,20,0,True,2020-12-29T20:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-20740,123007,2203,22943
308,164,2,0,True,2021-01-01T20:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-17672,105888,1419,19091
308,379,4,0,False,2021-01-12T20:15:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,5505,141098,20929,15424
308,184,11,6,False,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,22,22.6,0.3,0.0,2.3,48,-17803,92476,528,18331
308,171,8,0,False,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-17803,92476,528,18331
308,192,15,0,True,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2073,93543,4381,6454
308,199,1,6,False,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,24,17.8,1.4,0.0,1.9,48,-3171,90654,1126,4297
308,213,16,6,True,2021-02-02T20:15:00Z,9,0,22,90,0,0,1,0,0,0,0,0,0,0,0,23,13.4,17.1,0.0,3.1,48,1150,92257,2562,1412
308,224,7,1,True,2021-02-06T20:00:00Z,3,3,23,90,0,0,0,3,0,0,0,0,0,0,0,15,24.4,1.8,0.0,2.6,48,1755,94597,3978,2223
308,237,18,2,False,2021-02-14T14:00:00Z,1,1,24,90,0,0,0,1,0,0,0,0,0,0,0,11,11.0,4.7,0.0,1.6,48,251,95278,3732,3481
308,245,14,2,True,2021-02-21T19:00:00Z,3,1,25,90,0,0,0,1,0,0,0,0,0,0,0,14,9.4,1.2,0.0,1.1,48,1042,97156,3944,2902
308,249,5,6,False,2021-02-28T16:30:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,25,12.0,1.1,0.0,1.3,48,2700,100816,7136,4436
308,281,6,0,False,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,2700,100816,7136,4436
308,264,12,6,False,2021-03-07T16:30:00Z,0,2,27,90,0,0,1,0,0,0,0,0,0,0,0,25,18.4,0.1,0.0,1.9,48,-1421,99602,2147,3568
308,275,19,8,True,2021-03-14T19:15:00Z,1,0,28,90,0,0,1,0,0,0,0,0,0,0,2,30,21.0,1.3,0.0,2.2,48,1739,101925,3798,2059
308,295,3,2,True,2021-04-04T18:30:00Z,2,1,30,90,0,0,0,1,0,0,0,0,0,0,0,13,16.8,3.2,2.0,2.2,48,-203,101231,3432,3635
308,306,17,2,False,2021-04-11T15:30:00Z,1,3,31,90,0,0,0,1,0,0,0,0,0,0,0,9,5.2,0.5,0.0,0.6,48,5469,107264,8822,3353
308,315,4,2,True,2021-04-18T15:00:00Z,3,1,32,90,0,0,0,1,0,0,0,0,0,0,0,15,13.0,0.1,0.0,1.3,48,8101,116183,10442,2341
308,322,10,6,False,2021-04-25T13:00:00Z,0,0,33,90,0,0,1,0,0,0,0,0,0,0,0,27,17.6,14.3,0.0,3.2,48,1327,117559,4384,3057
308,340,2,2,False,2021-05-09T13:05:00Z,1,3,35,90,0,0,0,1,0,0,0,0,0,0,0,15,20.0,0.8,0.0,2.1,48,44125,164376,47608,3483
308,352,9,0,True,2021-05-11T17:00:00Z,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,44125,164376,47608,3483
308,334,11,0,True,2021-05-13T19:15:00Z,2,4,35,90,0,0,0,4,0,0,0,0,0,0,0,17,11.6,0.9,2.0,1.5,48,44125,164376,47608,3483
308,364,8,2,True,2021-05-18T17:00:00Z,1,1,37,90,0,0,0,1,0,0,0,0,0,0,0,14,14.6,1.0,0.0,1.6,48,8990,159177,11593,2603
308,378,20,0,False,2021-05-23T15:00:00Z,1,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-3033,155987,4422,7455
