element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
202,3,11,7,False,2020-09-12T16:30:00Z,4,3,1,61,1,0,0,3,0,0,0,0,0,0,1,28,40.0,0.5,27.0,6.8,55,0,226666,0,0
202,13,8,14,True,2020-09-19T14:00:00Z,4,3,2,69,1,2,0,3,0,0,0,0,0,0,2,45,50.4,11.9,21.0,8.3,56,364945,752960,429720,64775
202,25,15,8,False,2020-09-27T11:00:00Z,0,1,3,90,1,0,1,0,0,0,0,0,0,0,2,29,34.6,12.4,44.0,9.1,57,542839,1408294,668971,126132
202,33,12,1,True,2020-10-03T16:30:00Z,1,1,4,90,0,0,0,1,0,0,0,1,0,0,0,-2,5.2,0.9,74.0,8.0,58,307756,1753114,413623,105867
202,42,20,2,True,2020-10-19T19:00:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,3,0.2,4.0,27.0,3.1,58,58061,1833951,255988,197927
202,50,2,17,False,2020-10-23T19:00:00Z,0,3,6,90,3,0,1,0,0,0,0,0,0,0,3,74,96.4,22.2,118.0,23.7,58,-71449,1771278,108971,180420
202,62,9,2,True,2020-11-02T20:00:00Z,1,4,7,90,0,0,0,4,0,0,0,0,0,0,0,-5,14.0,2.2,63.0,7.9,59,496839,2324156,520755,23916
202,72,6,7,False,2020-11-07T15:00:00Z,4,1,8,90,1,0,0,4,0,0,0,0,0,0,1,28,32.6,2.8,27.0,6.2,60,130325,2453122,221902,91577
202,82,1,2,True,2020-11-22T16:30:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,-1,8.2,1.8,68.0,7.8,61,189837,2670112,297123,107286
202,93,7,2,False,2020-11-28T17:30:00Z,0,1,10,90,0,0,1,0,0,0,0,0,0,0,0,0,1.0,24.3,69.0,9.4,61,2181,2680255,114636,112455
202,102,5,8,False,2020-12-05T20:00:00Z,3,1,11,90,1,0,0,3,0,0,0,0,0,0,2,29,41.0,0.7,30.0,7.2,61,-55858,2621988,128708,184566
202,113,19,5,True,2020-12-11T20:00:00Z,1,2,12,73,0,1,0,1,0,0,0,0,0,0,0,14,2.2,2.3,29.0,3.4,62,279128,2950528,320628,41500
202,122,14,6,True,2020-12-16T18:00:00Z,5,2,13,83,1,0,0,2,0,0,0,0,0,0,0,29,42.8,13.1,77.0,13.3,63,156769,3114787,191883,35114
202,134,13,2,False,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,6,0,0,0,0,0,0,0,1,3.0,0.5,29.0,3.3,63,95233,3209689,152936,57703
202,142,4,8,True,2020-12-27T12:00:00Z,1,0,15,90,1,0,1,0,0,0,0,0,0,0,2,30,33.2,1.3,27.0,6.2,64,235305,3473089,302641,67336
202,158,18,8,False,2020-12-29T18:00:00Z,0,5,16,90,0,2,1,0,0,0,0,0,0,0,0,27,23.6,11.3,62.0,9.7,65,212034,3694809,238759,26725
202,167,17,2,False,2021-01-02T12:30:00Z,3,0,17,90,0,0,0,3,0,0,0,0,0,0,0,-3,5.4,1.1,70.0,7.7,66,132400,3834706,198440,66040
