name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Anthony Knockaert,MID,Fulham,177,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,12640,0,0
Antonee Robinson,DEF,Fulham,484,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,7957,0,0
Antonio Rüdiger,DEF,Chelsea,109,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,133067,0,0
Arthur Masuaku,DEF,West Ham,442,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,15272,0,0
Ayoze Pérez,MID,Leicester,229,5,18,3,False,2020-09-13T13:00:00Z,0,3,1,66,0,0,1,0,0,0,0,0,0,0,0,5,0.0,2.5,24.0,2.7,65,0,215629,0,0
Bamidele Alli,MID,Spurs,394,4,7,1,True,2020-09-13T15:30:00Z,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,3,8.4,11.9,21.0,4.1,80,0,237638,0,0
Barry Douglas,DEF,Leeds,196,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,920095,0,0
Benjamin Chilwell,DEF,Chelsea,232,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,72270,0,0
Ben Davies,DEF,Spurs,395,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,20.2,35.5,36.0,9.2,50,0,155868,0,0
Ben Johnson,DEF,West Ham,452,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,161367,0,0
Ben Osborn,MID,Sheffield Utd,356,8,20,0,True,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2316,0,0
Ben White,DEF,Brighton,74,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,78,0,0,0,3,0,0,0,0,0,0,0,16,14.2,0.8,0.0,1.5,45,0,103827,0,0
Bernardo Fernandes da Silva Junior,DEF,Brighton,75,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,824870,0,0
Bernard Anício Caldeira Duarte,MID,Everton,154,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,10689,0,0
Bernd Leno,GK,Arsenal,8,2,8,7,False,2020-09-12T11:30:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,50,0,400285,0,0
Billy Gilmour,MID,Chelsea,124,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10890,0,0
Billy Sharp,FWD,Sheffield Utd,343,8,20,2,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,-4,1.4,3.0,23.0,2.7,60,0,17568,0,0
Bobby Decordova-Reid,FWD,Fulham,181,2,1,1,True,2020-09-12T11:30:00Z,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.4,2.0,0.2,55,0,8412,0,0
Brandon Pierrick,MID,Crystal Palace,147,1,16,0,True,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6682,0,0
Bruno André Cavaco Jordao,MID,Wolves,475,8,15,0,False,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,35928,0,0
Bukayo Saka,MID,Arsenal,24,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,491508,0,0
Callum Hudson-Odoi,MID,Chelsea,122,7,3,1,False,2020-09-14T19:15:00Z,1,3,1,10,0,0,0,0,0,0,0,0,0,0,0,3,0.8,1.3,0.0,0.2,60,0,28187,0,0
Callum Robinson,FWD,West Brom,358,5,9,1,True,2020-09-13T13:00:00Z,0,3,1,59,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,1.3,2.0,0.1,55,0,13584,0,0
Callum Wilson,FWD,Newcastle,506,6,19,8,False,2020-09-12T19:00:00Z,0,2,1,84,1,0,1,0,0,0,0,0,0,0,2,32,32.0,23.3,50.0,10.5,65,0,538610,0,0
Calum Chambers,DEF,Arsenal,13,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1043,0,0
Cameron Carter-Vickers,DEF,Spurs,521,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,14540,0,0
Cedric Kipre,DEF,West Brom,499,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,4451,0,0
Cenk Tosun,FWD,Everton,153,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,444,0,0
Charlie Austin,FWD,West Brom,415,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,60979,0,0
Cheikhou Kouyaté,MID,Crystal Palace,133,1,16,3,True,2020-09-12T14:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,3,12.6,0.3,17.0,3.0,50,0,14565,0,0
Che Adams,FWD,Southampton,377,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,84,0,0,0,1,0,0,0,0,0,0,0,3,4.4,13.1,21.0,3.9,60,0,279992,0,0
Christian Atsu,MID,Newcastle,330,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,5623,0,0
Christian Benteke,FWD,Crystal Palace,132,1,16,0,True,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,15812,0,0
Christian Fuchs,DEF,Leicester,218,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1369,0,0
Christian Pulisic,MID,Chelsea,119,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,650190,0,0
Christian Walton,GK,Brighton,503,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,107597,0,0
Chris Basham,DEF,Sheffield Utd,345,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,70,0,0,0,2,0,0,0,0,0,0,0,14,11.4,1.5,2.0,1.5,50,0,135308,0,0
Ciaran Clark,DEF,Newcastle,324,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3326,0,0
Connor Wickham,FWD,Crystal Palace,136,1,16,0,True,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,85742,0,0
Conor Coady,DEF,Wolves,459,8,15,8,False,2020-09-14T17:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,2,29,22.0,0.0,0.0,2.2,50,0,556410,0,0
Conor Townsend,DEF,West Brom,418,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,4560,0,0
Curtis Jones,MID,Liverpool,263,3,10,1,True,2020-09-12T16:30:00Z,4,3,1,24,0,0,0,1,0,0,0,0,0,0,0,2,2.4,13.3,2.0,1.8,45,0,32021,0,0
Cyrus Christie,DEF,Fulham,179,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10166,0,0
Cédric Soares,DEF,Arsenal,5,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,35774,0,0
César Azpilicueta,DEF,Chelsea,102,7,3,1,False,2020-09-14T19:15:00Z,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,2.0,0.3,60,0,469354,0,0
Dale Stephens,MID,Brighton,55,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,849631,0,0
Daniel Amartey,DEF,Leicester,227,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,86735,0,0
Daniel Castelo Podence,MID,Wolves,469,8,15,6,False,2020-09-14T17:00:00Z,0,2,1,75,0,1,1,0,0,0,0,0,0,0,0,23,25.8,18.3,0.0,4.4,55,0,17314,0,0
Daniel Ceballos Fernández,MID,Arsenal,501,2,8,1,False,2020-09-12T11:30:00Z,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,6,5.2,1.3,4.0,1.1,50,0,115657,0,0
Danny Ings,FWD,Southampton,366,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,1,8.6,11.2,60.0,8.0,85,0,1467030,0,0
Danny Rose,DEF,Spurs,384,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,24146,0,0
Danny Ward,GK,Leicester,223,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,13251,0,0
Dan Burn,DEF,Brighton,61,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,51065,0,0
Dara O'Shea,DEF,West Brom,425,5,9,1,True,2020-09-13T13:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,8,9.6,0.6,0.0,1.0,45,0,19684,0,0
Darnell Furlong,DEF,West Brom,422,5,9,2,True,2020-09-13T13:00:00Z,0,3,1,68,0,0,0,1,0,0,0,0,0,0,0,6,6.2,11.5,12.0,3.0,45,0,5791,0,0
Darren Randolph,GK,West Ham,430,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,16045,0,0
David Button,GK,West Brom,56,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,299163,0,0
David Luiz Moreira Marinho,DEF,Arsenal,3,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,69564,0,0
David Martin,GK,West Ham,429,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,498030,0,0
David McGoldrick,FWD,Sheffield Utd,344,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,19,0,0,0,0,0,0,0,0,0,0,0,2,0.8,2.7,8.0,1.2,55,0,64923,0,0
Davinson Sánchez,DEF,Spurs,398,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,62607,0,0
Davy Pröpper,MID,Brighton,59,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,6355,0,0
DeAndre Yedlin,DEF,Newcastle,335,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,27859,0,0
Declan Rice,MID,West Ham,448,6,14,2,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,15,21.6,14.5,8.0,4.4,50,0,305763,0,0
Demarai Gray,MID,Leicester,230,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,12401,0,0
Denis Odoi,DEF,Fulham,525,2,1,1,True,2020-09-12T11:30:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,12,11.4,2.6,7.0,2.1,45,0,0,0,0
Dennis Praet,MID,Leicester,225,5,18,6,False,2020-09-13T13:00:00Z,0,3,1,74,0,1,1,0,0,0,0,0,0,0,0,25,27.8,16.8,33.0,7.8,55,0,4535,0,0
Diogo Jota,MID,Wolves,468,8,15,0,False,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,215812,0,0
Divock Origi,FWD,Liverpool,256,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,71975,0,0
Dominic Calvert-Lewin,FWD,Everton,164,4,17,8,False,2020-09-13T15:30:00Z,0,1,1,88,1,0,1,0,0,0,0,0,0,0,2,34,38.4,13.7,34.0,8.6,70,0,387691,0,0
Dwight Gayle,FWD,Newcastle,329,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,3224,0,0
Eberechi Eze,MID,Crystal Palace,489,1,16,1,True,2020-09-12T14:00:00Z,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,4.4,8.8,4.0,1.7,60,0,33257,0,0
Edward Nketiah,FWD,Arsenal,22,2,8,1,False,2020-09-12T11:30:00Z,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,60,0,112190,0,0
Emerson Palmieri dos Santos,DEF,Chelsea,111,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,11017,0,0
Emile Smith Rowe,MID,Arsenal,23,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17820,0,0
Emil Krafth,DEF,Newcastle,333,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,5746,0,0
Enda Stevens,DEF,Sheffield Utd,347,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,13,13.2,6.9,6.0,2.6,55,0,340758,0,0
Eric Dier,DEF,Spurs,391,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,13,17.4,0.7,0.0,1.8,50,0,95090,0,0
Erik Lamela,MID,Spurs,387,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,10931,0,0
Ethan Ampadu,DEF,Sheffield Utd,509,8,20,0,True,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,51564,0,0
Ezgjan Alioski,DEF,Leeds,201,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,44238,0,0
Fabian Delph,MID,Everton,149,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3638,0,0
Fabian Schär,DEF,Newcastle,334,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1810,0,0
Fabio Henrique Tavares,MID,Liverpool,253,3,10,4,True,2020-09-12T16:30:00Z,4,3,1,32,0,1,0,1,0,0,0,0,0,0,0,13,4.2,1.0,2.0,0.7,55,0,76886,0,0
Fabio Silva,FWD,Wolves,504,8,15,0,False,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,75604,0,0
Fabián Balbuena,DEF,West Ham,443,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,11269,0,0
Fabricio Agosto Ramírez,GK,Fulham,171,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,117641,0,0
Federico Fernández,DEF,Newcastle,323,6,19,6,False,2020-09-12T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,27,26.0,0.1,2.0,2.8,50,0,88657,0,0
Felipe Anderson Pereira Gomes,MID,West Ham,440,6,14,1,True,2020-09-12T19:00:00Z,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2.4,0.3,0.0,0.3,65,0,32372,0,0
Fernando Marçal,DEF,Wolves,505,8,15,5,False,2020-09-14T17:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,21,15.2,1.5,0.0,1.7,50,0,15739,0,0
Fikayo Tomori,DEF,Chelsea,121,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,21251,0,0
Filip Benkovic,DEF,Leicester,237,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6080,0,0
Florian Lejeune,DEF,Newcastle,327,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3104,0,0
Florin Andone,FWD,Brighton,64,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,22063,0,0
Francisco Casilla Cortés,GK,Leeds,194,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,149614,0,0
Fraser Forster,GK,Southampton,523,1,6,0,False,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0
