element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
590,56,7,1,True,2020-10-25T14:00:00Z,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,0,0,0,0
590,59,2,0,False,2020-11-01T12:00:00Z,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2506,3338,3037,531
590,76,14,0,True,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,30,3431,896,866
590,88,20,0,False,2020-11-23T20:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,542,4710,1703,1161
590,96,13,1,True,2020-11-29T14:00:00Z,2,3,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,45,225,5007,969,744
590,100,3,0,False,2020-12-07T20:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1015,6714,2111,1096
590,117,15,1,True,2020-12-13T12:00:00Z,3,0,12,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.1,2.0,0.3,45,568,7292,1812,1244
590,119,1,0,False,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1032,8745,2050,1018
590,136,12,1,True,2020-12-19T15:00:00Z,0,1,14,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,45,8,8771,1461,1453
590,141,8,1,False,2020-12-26T15:00:00Z,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,1453,10902,3244,1791
