element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
417,5,9,2,True,2020-09-13T13:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,4,0,16,31.2,0.0,0.0,3.1,45,0,43295,0,0
417,12,7,0,False,2020-09-19T11:30:00Z,5,2,2,90,0,0,0,5,0,0,0,0,0,2,0,14,14.0,0.0,0.0,1.4,45,1313,52526,8778,7465
417,27,5,3,True,2020-09-26T16:30:00Z,3,3,3,90,0,0,0,3,0,0,0,0,0,7,0,23,46.6,0.0,0.0,4.7,45,-5507,48344,3358,8865
417,37,16,3,False,2020-10-04T11:00:00Z,2,0,4,90,0,0,0,2,0,0,0,0,0,6,0,20,39.2,0.0,0.0,3.9,45,285,50768,5033,4748
417,48,4,9,True,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,4,2,32,28.8,0.0,0.0,2.9,45,2299,55362,8210,5911
417,51,3,5,False,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,3,2,16,20.2,0.0,0.0,2.0,45,5820,62391,9979,4159
417,61,8,1,False,2020-11-02T17:30:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,2,0,15,14.6,0.0,0.0,1.5,45,10158,76088,13478,3320
417,77,17,3,True,2020-11-08T12:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,45,-1423,74000,5229,6652
417,84,13,4,False,2020-11-21T20:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,6,0,20,43.4,0.0,0.0,4.3,45,145,74924,5446,5301
417,97,15,11,True,2020-11-28T20:00:00Z,1,0,10,90,0,0,1,0,0,0,0,0,0,6,3,33,39.8,0.0,0.0,4.0,45,15649,97761,19188,3539
417,107,6,0,True,2020-12-06T12:00:00Z,1,5,11,90,0,0,0,5,0,0,0,0,0,2,0,12,14.2,0.0,0.0,1.4,45,40177,147390,46848,6671
417,116,14,2,False,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,4,0,17,26.4,0.0,0.0,2.6,45,-1546,134553,11623,13169
